IKResults
version=1
nRows=3565
nColumns=18
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	TH_x	TH_y	TH_z	TH_x_trans	TH_y_trans	TH_z_trans	SC_y	SC_z	SC_x	AC_y	AC_z	AC_x	GH_y	GH_z	GH_yy	EL_x	PS_y
      7.72000000	      5.30089890	   -169.67835792	      6.12793832	      0.16204578	      1.44903947	      0.04765530	    -35.01538039	      2.89147247	      7.79225872	     45.15126033	     15.54966868	     -4.59464687	      1.50713780	     45.39197898	      0.63777477	     21.50020153	    121.44571571
      7.73000000	      5.40248596	   -169.64774102	      5.99625085	      0.16213806	      1.44933604	      0.04755386	    -35.03350315	      2.91561057	      8.06976468	     45.10310669	     15.93776703	     -4.54847937	      1.44313996	     45.85048006	      0.51533425	     21.37344704	    121.43570172
      7.74000000	      5.30439529	   -169.65851422	      6.19409194	      0.16219309	      1.44919036	      0.04748422	    -35.04948484	      3.04951379	      8.23542768	     45.08839478	     16.13998825	     -4.52110534	      1.41383851	     46.03071480	      0.48291092	     21.36383414	    121.42955604
      7.75000000	      5.39969379	   -169.65482850	      6.06919085	      0.16218133	      1.44951869	      0.04748485	    -35.11348975	      3.04695388	      8.50209166	     45.04632502	     16.53258020	     -4.47394838	      1.44099951	     46.49349781	      0.40340407	     21.26710994	    121.42928279
      7.76000000	      5.30258356	   -169.66467802	      6.26318804	      0.16225086	      1.44937317	      0.04741808	    -35.12949102	      3.17681667	      8.66517932	     45.03104309	     16.73105372	     -4.44647673	      1.41361030	     46.66850363	      0.37269941	     21.25756052	    121.42349296
      7.77000000	      5.38805661	   -169.63488705	      6.16059226	      0.16229918	      1.44969449	      0.04733192	    -35.17836728	      3.16890562	      8.95578653	     44.94379864	     17.13012622	     -4.39853166	      1.43034041	     47.05831169	      0.31741461	     21.16264284	    121.42681218
      7.78000000	      5.29415818	   -169.64604123	      6.34854326	      0.16236231	      1.44958638	      0.04728888	    -35.19616976	      3.29403320	      9.11329419	     44.92909579	     17.32203905	     -4.37181931	      1.40555247	     47.22682313	      0.28869855	     21.15433197	    121.42138242
      7.79000000	      5.39426353	   -169.62700649	      6.24845653	      0.16236840	      1.44989929	      0.04726168	    -35.27324615	      3.27763662	      9.40697111	     44.84210023	     17.73385095	     -4.31873792	      1.47305112	     47.59573127	      0.25811646	     21.07773234	    121.43064108
      7.80000000	      5.30125030	   -169.63767552	      6.43226020	      0.16243703	      1.44980370	      0.04722318	    -35.29127261	      3.39878685	      9.56122027	     44.82763943	     17.92105523	     -4.29159922	      1.44987650	     47.75850131	      0.23063144	     21.06976194	    121.42545314
      7.81000000	      5.38410844	   -169.62993395	      6.32534551	      0.16235476	      1.45020485	      0.04733842	    -35.52600527	      3.32680193	      9.83451260	     44.69316431	     18.44980026	     -4.21406229	      1.85288076	     48.09360618	      0.28436012	     20.94806350	    121.47620714
      7.82000000	      5.29954700	   -169.63663242	      6.50400606	      0.16237225	      1.45014096	      0.04729296	    -35.53912908	      3.44667519	      9.98210686	     44.67726970	     18.62936382	     -4.18897955	      1.82638042	     48.24747297	      0.25656497	     20.93741836	    121.47101412
      7.83000000	      5.37804795	   -169.57350720	      6.45900092	      0.16252732	      1.45039112	      0.04712913	    -35.55592678	      3.46044652	     10.26881186	     44.53406465	     19.00784361	     -4.13002149	      1.81478530	     48.49551743	      0.19387111	     20.84777520	    121.47134150
      7.84000000	      5.29157836	   -169.58242819	      6.63340562	      0.16257867	      1.45032705	      0.04708817	    -35.57195975	      3.57512048	     10.41577808	     44.52119587	     19.18508293	     -4.10208892	      1.79261888	     48.64754547	      0.16728859	     20.84123984	    121.46616653
      7.85000000	      5.37546124	   -169.55163643	      6.56500252	      0.16259645	      1.45060285	      0.04701766	    -35.73882118	      3.59066316	      9.92214324	     43.74214592	     20.37411418	     -3.69529827	      3.00710389	     48.66635562	     -0.73285946	     20.64718538	    121.47332384
      7.86000000	      5.29341840	   -169.56127205	      6.73452943	      0.16263969	      1.45055910	      0.04700368	    -35.75536552	      3.70278678	     10.06359481	     43.72777959	     20.54438767	     -3.66772530	      2.97864209	     48.81402632	     -0.75783757	     20.63942191	    121.46867856
      7.87000000	      5.37782242	   -169.51949396	      6.68424291	      0.16272252	      1.45084365	      0.04689981	    -35.80241089	      3.69760728	     10.35349023	     43.64453215	     20.90185316	     -3.56166842	      2.91692819	     49.05638804	     -0.77306466	     20.59303827	    121.48201279
      7.88000000	      5.29533994	   -169.53073129	      6.85061925	      0.16277485	      1.45080021	      0.04690092	    -35.82121037	      3.80624080	     10.49303218	     43.63052536	     21.06900279	     -3.53339947	      2.89115012	     49.19952103	     -0.79631826	     20.58658206	    121.47770253
      7.89000000	      5.39403342	   -169.50478341	      6.79432447	      0.16282122	      1.45112890	      0.04687150	    -35.91227706	      3.79184205	     10.80510808	     43.54599739	     21.45259781	     -3.39822423	      2.88578039	     49.39267314	     -0.76537852	     20.55240969	    121.50511083
      7.90000000	      5.31151440	   -169.51439067	      6.95899514	      0.16286425	      1.45107074	      0.04685367	    -35.92995400	      3.89880255	     10.94240461	     43.53361137	     21.61629739	     -3.36905439	      2.86256688	     49.53185912	     -0.78748272	     20.54616595	    121.50104664
      7.91000000	      5.23842523	   -169.48125041	      6.96976873	      0.16292961	      1.45148494	      0.04668418	    -35.95839840	      3.88459801	     11.20574562	     43.45035037	     21.88470757	     -3.26856840	      2.81771699	     49.70484033	     -0.81362162	     20.50370645	    121.50333770
